ts	s	trisk	nrisk
0.094499998	1	0	764
0.158000007	1	6	715
0.221000001	1	12	585
0.284999996	1	18	263
0.34799999	1	24	73
0.412	1	30	19
0.474999994	1		
0.537999988	1		
0.601999998	1		
0.665000021	1		
0.728999972	1		
0.791999996	1		
0.856000006	1		
0.91900003	1		
0.981999993	1		
1.049999952	1		
1.110000014	1		
1.169999957	1		
1.24000001	1		
1.299999952	1		
1.360000014	1		
1.429999948	1		
1.49000001	1		
1.549999952	1		
1.620000005	0.998000026		
1.679999948	0.997142851		
1.74000001	0.997142851		
1.809999943	0.997142851		
1.870000005	0.997142851		
1.929999948	0.997142851		
2	0.997142851		
2.059999943	0.997142851		
2.119999886	0.996999919		
2.190000057	0.996999919		
2.25	0.996999919		
2.309999943	0.996999919		
2.380000114	0.996999919		
2.440000057	0.995000005		
2.5	0.992999911		
2.569999933	0.992999911		
2.630000114	0.992999911		
2.690000057	0.992999911		
2.75999999	0.992999911		
2.819999933	0.992999911		
2.880000114	0.992999911		
2.950000048	0.992999911		
3.00999999	0.992999911		
3.079999924	0.992999911		
3.140000105	0.992999911		
3.200000048	0.992999911		
3.269999981	0.992999911		
3.329999924	0.992999911		
3.390000105	0.992999911		
3.460000038	0.992999911		
3.519999981	0.992999911		
3.579999924	0.992999911		
3.650000095	0.991999984		
3.710000038	0.99000001		
3.769999981	0.99000001		
3.839999914	0.99000001		
3.900000095	0.987999976		
3.960000038	0.986999989		
4.03000021	0.986999989		
4.090000153	0.985000014		
4.150000095	0.98299998		
4.21999979	0.98299998		
4.28000021	0.981000006		
4.340000153	0.977999985		
4.409999847	0.976000011		
4.46999979	0.976000011		
4.53000021	0.976000011		
4.599999905	0.976000011		
4.659999847	0.975000024		
4.71999979	0.97299999		
4.789999962	0.971000016		
4.849999905	0.970000029		
4.909999847	0.967999995		
4.980000019	0.966000021		
5.039999962	0.966000021		
5.099999905	0.966000021		
5.170000076	0.964999974		
5.230000019	0.963		
5.289999962	0.963		
5.360000134	0.963		
5.420000076	0.963		
5.480000019	0.963		
5.550000191	0.963		
5.610000134	0.963		
5.670000076	0.963		
5.739999771	0.963		
5.800000191	0.963		
5.860000134	0.963		
5.929999828	0.963		
5.989999771	0.961000025		
6.050000191	0.958999991		
6.119999886	0.958999991		
6.179999828	0.958000004		
6.239999771	0.95600003		
6.309999943	0.95600003		
6.369999886	0.95600003		
6.429999828	0.95600003		
6.5	0.95600003		
6.559999943	0.95600003		
6.619999886	0.953999996		
6.690000057	0.953000009		
6.75	0.953000009		
6.809999943	0.950999975		
6.880000114	0.949000001		
6.940000057	0.948000014		
7	0.94599992		
7.070000172	0.94599992		
7.130000114	0.94599992		
7.190000057	0.944000006		
7.260000229	0.940999985		
7.320000172	0.93900001		
7.380000114	0.938000023		
7.449999809	0.93599999		
7.510000229	0.93599999		
7.570000172	0.93599999		
7.639999866	0.93599999		
7.699999809	0.93599999		
7.760000229	0.93599999		
7.829999924	0.93599999		
7.889999866	0.93599999		
7.960000038	0.934000015		
8.020000458	0.930999994		
8.079999924	0.930999994		
8.140000343	0.924000025		
8.210000038	0.921000004		
8.270000458	0.916000009		
